ID,Name,Outline Level,Duration,Start,Finish
141,E02 Albañilerías,2,1w,2026-06-12,2026-06-19
142,D07 Losa Aligerada,2,1w,2026-06-19,2026-06-26
143,E03 Losa Aligerada,2,1w,2026-06-26,2026-07-03
144,E03 Losa Aligerada,2,1w,2026-07-03,2026-07-10
145,D08 Inst. Eléctricas,2,1w,2026-07-10,2026-07-17
146,E04 Inst. Eléctricas,2,1w,2026-07-17,2026-07-24
147,E04 Accesori. Eléct.,2,1w,2026-07-24,2026-07-31
148,D08 Acce./Tablero,2,1w,2026-07-31,2026-08-07
149,E04 Tablero,2,1w,2026-08-07,2026-08-14
150,E05 Inst. Pluviales,2,1w,2026-08-14,2026-08-21
151,E05 Inst. Pluviales,2,1w,2026-08-21,2026-08-28
152,E06 Voz y Datos,2,1w,2026-08-28,2026-09-04
153,D09 Recubrim./Pint.,2,1w,2026-09-04,2026-09-11
154,E07 Recubrim./Pint.,2,1w,2026-09-11,2026-09-18
155,E07 Recubrim./Pint.,2,1w,2026-09-18,2026-09-25
156,D10 Cancelería,2,1w,2026-09-25,2026-10-02
157,E08 Cancelería,2,1w,2026-10-02,2026-10-09
158,E08 Cancelería,2,1w,2026-10-09,2026-10-16
159,D11 Lambrín WPC,2,1w,2026-10-16,2026-10-23
160,E09 Lambrín WPC,2,1w,2026-10-23,2026-10-30
161,E09 Lambrín WPC,2,1w,2026-10-30,2026-11-06
162,D12 Herrería,2,1w,2026-11-06,2026-11-13
163,D12 Herrería,2,1w,2026-11-13,2026-11-20
164,D13 Limpieza,2,1w,2026-11-20,2026-11-27
165,E10 Limpieza,2,1w,2026-11-27,2026-12-04
